date,open,high,close,low,volume,amount
2016-07-22,5.25,5.27,5.22,5.21,19153135.0,99560960.0
2016-07-21,5.27,5.29,5.25,5.24,21266416.0,111392070.0
2016-07-20,5.32,5.33,5.26,5.26,25597402.0,134353572.0
2016-07-19,5.28,5.39,5.32,5.27,45253066.0,239896674.0
2016-07-18,5.29,5.31,5.27,5.26,27012871.0,141824812.0
2016-07-15,5.29,5.32,5.29,5.27,21715638.0,114285091.0
2016-07-14,5.28,5.3,5.29,5.26,28496943.0,149637830.0
2016-07-13,5.28,5.35,5.3,5.26,60191570.0,317774065.0
2016-07-12,5.18,5.26,5.26,5.17,47582325.0,247399905.0
2016-07-11,5.19,5.22,5.18,5.17,22602370.0,116815896.0
2016-07-08,5.21,5.22,5.19,5.17,15616100.0,80525008.0
2016-07-07,5.21,5.23,5.22,5.17,23127956.0,119599391.0
2016-07-06,5.22,5.22,5.21,5.17,24243322.0,125243648.0
2016-07-05,5.18,5.29,5.23,5.17,46713201.0,242980522.0
2016-07-04,5.09,5.2,5.19,5.08,38231991.0,196244599.0
2016-07-01,5.13,5.13,5.09,5.09,13925223.0,70725873.0
2016-06-30,5.13,5.15,5.12,5.09,16303027.0,82897463.0
2016-06-29,5.11,5.15,5.13,5.09,22271240.0,113613167.0
2016-06-28,5.08,5.11,5.11,5.06,23881069.0,120626286.0
2016-06-27,5.04,5.11,5.1,5.03,22420558.0,113274436.0
2016-06-24,5.16,5.18,5.07,4.99,24188527.0,122349706.0
2016-06-23,5.26,5.26,5.16,5.13,32152966.0,165756940.0
2016-06-22,5.25,5.27,5.26,5.24,27960003.0,153609131.0
2016-06-21,5.25,5.27,5.25,5.21,25511632.0,140143405.0
2016-06-20,5.25,5.27,5.24,5.21,21422716.0,117413869.0
2016-06-17,5.21,5.26,5.25,5.18,35102764.0,191788388.0
2016-06-16,5.13,5.32,5.23,5.1,59459495.0,326145993.0
2016-06-15,5.01,5.15,5.11,5.01,23763078.0,126712410.0
2016-06-14,5.02,5.07,5.06,4.99,15549541.0,82051957.0
2016-06-13,5.05,5.13,5.03,5.02,29366392.0,156075958.0
2016-06-08,5.09,5.12,5.09,5.05,23217725.0,123645163.0
2016-06-07,5.12,5.12,5.11,5.09,14504343.0,77511745.0
2016-06-06,5.11,5.13,5.12,5.09,20325337.0,108682948.0
2016-06-03,5.08,5.13,5.11,5.05,26471965.0,141118930.0
2016-06-02,5.05,5.08,5.07,5.05,17159617.0,90944184.0
2016-06-01,5.07,5.1,5.06,5.05,24633776.0,130665171.0
2016-05-31,4.94,5.09,5.08,4.94,35409114.0,186714726.0
2016-05-30,4.95,4.96,4.94,4.92,10151141.0,52479055.0
2016-05-27,4.95,4.97,4.95,4.93,10640067.0,55137872.0
2016-05-26,4.95,4.97,4.96,4.89,14197359.0,73210986.0
2016-05-25,4.98,4.99,4.95,4.93,10719590.0,55678889.0
2016-05-24,4.98,4.99,4.96,4.93,13749797.0,71317173.0
2016-05-23,4.96,5.0,4.99,4.96,13385339.0,69720908.0
2016-05-20,4.93,4.97,4.96,4.92,10550177.0,54553562.0
2016-05-19,4.95,4.99,4.94,4.91,12874418.0,66763056.0
2016-05-18,4.98,4.98,4.95,4.88,22320562.0,115272173.0
2016-05-17,5.01,5.04,5.01,4.98,14066834.0,73727040.0
2016-05-16,4.99,5.02,5.02,4.95,14060005.0,73474581.0
2016-05-13,5.04,5.06,4.99,4.97,23381313.0,122805274.0
2016-05-12,4.95,5.14,5.05,4.89,44920564.0,236230548.0
2016-05-11,5.0,5.01,4.97,4.94,18170143.0,94603211.0
2016-05-10,4.99,5.02,4.97,4.94,19279424.0,100234432.0
2016-05-09,5.09,5.12,4.98,4.96,29166874.0,152688962.0
2016-05-06,5.26,5.27,5.12,5.11,32560115.0,176625075.0
2016-05-05,5.26,5.27,5.26,5.23,18364416.0,100969360.0
2016-05-04,5.26,5.29,5.26,5.24,23835015.0,131385498.0
2016-05-03,5.18,5.29,5.28,5.16,31488800.0,172775720.0
2016-04-29,5.16,5.21,5.18,5.14,17806617.0,96584863.0
